ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date & Time,Tree Plot ID #,Tree species,Other (specify) - Tree species,DBH (cm),Cardinal Direction,Soil organic layer depth (cm),Soil moisture (% V/V),Distance from tree trunk (m),Soil organic layer depth (cm),Soil moisture (% V/V),Distance from tree trunk (m),Ground Cover Types,Mixed/Other (specify) - Ground Cover Types,Notes & Comments,x,y
1,7e7b4262-b2a5-4c48-8196-22e85ef89bad,09/04/2025 11:37:52.585,HDuncanAEG,09/04/2025 11:37:52.585,HDuncanAEG,04/09/2025 09:29,1,other,Alder,3.7,North,13,17.6,0.5,17.5,77.6,7,"Grassland/Herbs (grasses, forbs",,"Moss present and heather surrounding near by.
North was chosen randomly for first direction.",-4.263475019,56.51057638
2,d3613c91-aa93-4ff9-a8c4-2c4e5d3d1e54,09/04/2025 11:38:01.833,HDuncanAEG,09/04/2025 11:38:01.833,HDuncanAEG,04/09/2025 09:37,2,Silver Birch (Betula pendula),,26,East,13,48.9,0.5,32.5,70.2,7,"Grassland/Herbs (grasses, forbs",,"Near heath with 3m.
Blueberry and heath near tree.",-4.263689516,56.51061822
3,7f23214e-d717-47f2-baba-28918c5f613c,09/04/2025 11:38:10.122,HDuncanAEG,09/04/2025 11:38:10.122,HDuncanAEG,04/09/2025 09:53,3,other,Alder,22.6,West,9,88.4,0.5,37,81.6,7,Mosses/Lichens (bryophyte or li,,"Mixed vegetation lots of reeds and grass, right next to the stream.",-4.263706005,56.51080336
4,68033e36-5b7a-47b7-b185-6a549a57e2a4,09/04/2025 11:38:14.674,HDuncanAEG,09/04/2025 11:38:14.674,HDuncanAEG,04/09/2025 10:01,4,Downy Birch (Betula pubescens),,9.6,North,5,48.6,0.5,36.5,89.7,7,Heather/Moorland (Calluna vulga,,Not a breast height for DBH because it is not mature,-4.264062934,56.5109589
5,b97c64a3-918e-4551-877b-f8682d6d2dce,09/04/2025 11:38:22.796,HDuncanAEG,09/04/2025 11:38:22.796,HDuncanAEG,04/09/2025 10:07,5,Downy Birch (Betula pubescens),,4.9,East,18.5,36.8,0.5,3.7,69.9,7,Heather/Moorland (Calluna vulga,,"Very immature tree, lots of moss and lichen as well but not the dominate.
",-4.264143837,56.51113608
6,ea15178a-36cb-4d1b-a710-45b129ca207f,09/04/2025 11:38:28.984,HDuncanAEG,09/04/2025 11:38:28.984,HDuncanAEG,04/09/2025 10:15,6,Silver Birch (Betula pendula),,9.6,South,25,41.7,0.5,9,33.1,7,Heather/Moorland (Calluna vulga,,"Mixed in with some moss, near some saplings within 7 m. ",-4.264439475,56.51106653
7,80466af7-e7da-41b9-9fcf-eb6dea4167fc,09/04/2025 11:38:35.403,HDuncanAEG,09/04/2025 11:38:35.403,HDuncanAEG,04/09/2025 10:26,7,Silver Birch (Betula pendula),,9.5,West,32.5,24,0.5,11,38.8,7,Heather/Moorland (Calluna vulga,,"Some saplings, scattered moss
",-4.264736515,56.51103724
8,1a1dea1f-c26c-4357-9aad-b6b63d7de0e1,09/04/2025 11:38:41.929,HDuncanAEG,09/04/2025 11:38:41.929,HDuncanAEG,04/09/2025 10:56,8,Scots pine (Pinus sylvestris),,5.6,North,34,46,0.5,52,36.7,7,Heather/Moorland (Calluna vulga,,"Young tree, lots of moss. Quite near some other saplings. Side note: Actual Corer depth 52 cm, and the probe 90 cm. And 52 established as maximum",-4.26431905,56.50963164
9,841f79f8-4df4-4805-9812-d33a14494fd7,09/04/2025 11:38:49.108,HDuncanAEG,09/04/2025 11:38:49.108,HDuncanAEG,04/09/2025 11:09,9,Silver Birch (Betula pendula),,6.1,South,23,90.9,0.5,34.5,79.9,7,Heather/Moorland (Calluna vulga,,"Few saplings around, some difficulty with probe in determining depth at this point as well as some off measurements with soil moisture which showed very low readings on clearly wet soil
",-4.263928479,56.50963111
10,292e6158-9fd0-4a0a-bcfc-e250d583a7bc,09/04/2025 11:38:57.414,HDuncanAEG,09/04/2025 11:38:57.414,HDuncanAEG,04/09/2025 11:24,10,Silver Birch (Betula pendula),,6,East,15.8,40.4,0.5,18,74.9,7,Heather/Moorland (Calluna vulga,,Lots of grass and moss. Very mossy under tree probe shows shallow,-4.263954048,56.5094955
11,dc503aa4-f759-4199-bbe6-bc94e2e51c39,09/04/2025 13:25:23.035,HDuncanAEG,09/04/2025 13:25:23.035,HDuncanAEG,04/09/2025 12:06,11,Silver Birch (Betula pendula),,9.7,West,10,53.6,0.5,11,56.5,7,Heather/Moorland (Calluna vulga,,Deep water out near by fenced off. DBH is on a non mature tree. Top of a hill,-4.264174009,56.50927329
12,6155bc91-6948-415e-9640-d2dfb8196652,09/04/2025 13:25:34.684,HDuncanAEG,09/04/2025 13:25:34.684,HDuncanAEG,04/09/2025 12:20,12,Silver Birch (Betula pendula),,3.4,North,6.5,87.4,0.5,20,71.4,7,Heather/Moorland (Calluna vulga,,"Area has lots of holes filled with water maybe . 5 meters deep ranging.
Dbh not taken at 1.3 m cause it was very immature.",-4.264550946,56.50885488
13,dc4e9b80-8fb0-4ec3-a3ac-f50b0b2f02a6,09/04/2025 13:25:41.703,HDuncanAEG,09/04/2025 13:25:41.703,HDuncanAEG,04/09/2025 12:27,13,Downy Birch (Betula pubescens),,5.1,East,3.5,41.4,0.5,30,40.8,7,Heather/Moorland (Calluna vulga,,"We see next to a small creek, marsh next to us south. ",-4.26461226,56.50861166
14,c638cd46-2706-464c-a81f-5136f765e513,09/04/2025 13:25:49.927,HDuncanAEG,09/04/2025 13:25:49.927,HDuncanAEG,04/09/2025 12:34,14,Rowan (Sorbus aucuparia),,6.5,South,13.5,44.8,0.5,41,90.4,7,other,Heather/Moss, Almost exactly half Heather half mass and it’s about 1 m or less away from a small babbling Brook          ,-4.264384764,56.50856871
15,915f15dd-f3f0-40bf-a1ce-71e00edb17d7,09/04/2025 13:25:57.594,HDuncanAEG,09/04/2025 13:25:57.594,HDuncanAEG,04/09/2025 12:43,15,Downy Birch (Betula pubescens),,7,West,13,19.5,0.5,12.5,78.1,7,Heather/Moorland (Calluna vulga,,Quite near a creek.,-4.264145551,56.50833795
16,f3efa21d-e794-4aff-a6e6-7839fbe8e74e,09/04/2025 13:26:07.542,HDuncanAEG,09/04/2025 13:26:07.542,HDuncanAEG,04/09/2025 12:48,16,Silver Birch (Betula pendula),,7.8,North,18.5,28.9,0.5,9.5,34.2,7,Leaf Litter/Organic debris,,Crossed a creek in transect and it just started raining.,-4.264207333,56.50817063
17,1c3ba387-dabc-4611-aa12-9f2e721d899f,09/04/2025 13:26:15.861,HDuncanAEG,09/04/2025 13:26:15.861,HDuncanAEG,04/09/2025 12:53,17,other,Alder,3.2,East,8,24.5,0.5,20,90.8,7,Leaf Litter/Organic debris,,We are in a creek bed potentially but not actively running. The measurement near the tree was on a rock.,-4.264153666,56.50820698
18,5320038c-c4c7-49e1-a6dc-8a2f18a7384e,09/04/2025 13:26:22.755,HDuncanAEG,09/04/2025 13:26:22.755,HDuncanAEG,04/09/2025 13:03,18,Silver Birch (Betula pendula),,7.9,South,25.5,82.6,0.5,21.5,27.4,7,Heather/Moorland (Calluna vulga,,Lots of deep water pits all around.,-4.264559938,56.5077742
19,6a6d2ca3-d256-4ba0-8731-8da44f5c2c19,09/04/2025 13:26:32.259,HDuncanAEG,09/04/2025 13:26:32.259,HDuncanAEG,04/09/2025 13:09,19,Silver Birch (Betula pendula),,9.4,West,13,91.6,0.5,14.3,89.9,7,Heather/Moorland (Calluna vulga,,Pine quite near to sample point 7 m off. ,-4.264418179,56.50747257
20,f249e4fc-801c-4f16-98c1-39ed758b37a1,09/04/2025 13:26:40.889,HDuncanAEG,09/04/2025 13:31:07.999,HDuncanAEG,04/09/2025 13:20,20,Downy Birch (Betula pubescens),,5.9,West,13,28.9,0.5,25.5,69.2,7,Mosses/Lichens (bryophyte or li,,Lots of heather as well,-4.264714029,56.5071932
21,0b9db267-a9a3-4a25-98ce-ab83bb1d4674,09/04/2025 14:00:00.522,HDuncanAEG,09/04/2025 14:00:00.522,HDuncanAEG,04/09/2025 13:54,21,other,Alder,4.5,West,9.7,57.8,0.5,33.5,78.8,7,Heather/Moorland (Calluna vulga,,Down stream of a creek and boggy,-4.263589078,56.51006712
22,22eea592-d546-4d9d-9a0d-9a5b96a3800a,09/04/2025 14:17:49.393,HDuncanAEG,09/04/2025 14:17:49.393,HDuncanAEG,04/09/2025 14:01,22,Rowan (Sorbus aucuparia),,10.2,East,15.5,28.1,0.5,8.5,68.7,7,Mosses/Lichens (bryophyte or li,,Moss with heather patches next to a river,-4.262813129,56.51012697
23,bbfa1bf1-d6ec-4730-b0ec-35e8a47d891b,09/04/2025 14:18:00.294,HDuncanAEG,09/04/2025 14:18:00.294,HDuncanAEG,04/09/2025 14:05,23,Rowan (Sorbus aucuparia),,3.9,East,14.5,88.4,0.5,12.5,61.6,7,Mosses/Lichens (bryophyte or li,,"Heather patches all over, next to river ",-4.262831112,56.51005494
24,e1e2c9f8-31de-4aa3-ba2d-dfb03d269857,09/04/2025 14:18:10.267,HDuncanAEG,09/04/2025 14:18:10.267,HDuncanAEG,04/09/2025 14:10,24,English Oak (Quercus robur),,7.4,East,6,45.1,0.5,7,34.8,7,Heather/Moorland (Calluna vulga,,Bad terrain on a slope so went east ,-4.262562302,56.51001895
25,5dc25eb7-2842-4a8c-8fe2-2d6a244664e2,09/04/2025 14:18:21.385,HDuncanAEG,09/04/2025 14:18:21.385,HDuncanAEG,04/09/2025 14:13,25,Silver Birch (Betula pendula),,7,West,5.5,28.8,0.5,10,79.8,7,Heather/Moorland (Calluna vulga,,Along river bank on top of a steep slope,-4.262435725,56.510013